yyyymm,link
200001,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data4/adaptor.mars.internal-1695074829.145572-32300-15-a3e514e9-bdc4-4826-8b63-ef44084342b9.nc
200002,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data2/adaptor.mars.internal-1695074999.6154711-726-18-8e4a166a-e9d0-4d8d-9f03-fc1860aba48a.nc
200003,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data8/adaptor.mars.internal-1695160079.0411527-8440-4-16efa979-5999-4f28-90be-4b876456df09.nc
200004,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data7/adaptor.mars.internal-1695075348.4193196-10352-17-691a5f15-bf30-44c9-82dd-549d6dff4b8e.nc
200005,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data2/adaptor.mars.internal-1695160256.7171352-22515-6-69462a58-d877-4c41-83d2-496e2c231c74.nc
200006,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data7/adaptor.mars.internal-1695075693.5937517-32378-6-e5e3b21e-c6e4-4cf1-b5ad-e1b95d24a48f.nc
200007,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data4/adaptor.mars.internal-1695075868.8781977-1207-16-700c40b0-f1a8-47e2-aca9-84d511bf0455.nc
200008,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data1/adaptor.mars.internal-1695076053.6378927-13509-7-a93c4032-be37-4140-b6e4-1b2c28f47524.nc
200009,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data9/adaptor.mars.internal-1695076211.6232562-17064-16-8756ab37-8aa1-4d0a-8601-3f9cdbddc6b0.nc
200010,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data6/adaptor.mars.internal-1695076393.3460374-19937-5-76f245af-dd00-4b0b-8fb4-881823486400.nc
200011,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data0/adaptor.mars.internal-1695076645.8911943-639-14-f6b262db-c475-4f1e-bbb6-4f98f92cc386.nc
200012,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data3/adaptor.mars.internal-1695076823.8513355-28876-12-20e67d24-919f-43e8-b7ea-7d83a3edb10b.nc
200101,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data7/adaptor.mars.internal-1695076989.1903234-24516-7-9fdfd367-fcca-4b7a-8056-824cd5636f43.nc
200102,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data6/adaptor.mars.internal-1695077148.5283968-14389-4-77046563-347c-4854-9290-6af5bb5ef24b.nc
200103,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data5/adaptor.mars.internal-1695077271.2072225-4375-11-c34b119f-94fd-453d-b8b0-a2e02b3351d1.nc
200104,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data3/adaptor.mars.internal-1695077440.3840883-14070-11-1340b17d-d68b-4194-9b5d-257aee8e13fa.nc
200105,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data7/adaptor.mars.internal-1695077619.2926986-3320-9-47bb9aff-3282-4a9f-81fb-dca91d08bf69.nc
200106,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data9/adaptor.mars.internal-1695077779.9514995-5094-18-ea2ec32c-f8c3-4cee-bc52-97cb26b0360f.nc
200107,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data4/adaptor.mars.internal-1695077887.953667-10283-1-151cccae-09b1-4b53-9694-44d3f50ab80c.nc
200108,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data3/adaptor.mars.internal-1695078062.7801178-22195-10-b8343334-0be0-4a01-b7b0-c73b84256990.nc
200109,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data3/adaptor.mars.internal-1695078198.2934773-17697-15-a3ae4a3f-92b0-4226-baa2-f0e95e4e0214.nc
200110,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data3/adaptor.mars.internal-1695078367.5810971-24540-8-5d493805-326f-4ff6-99b9-7434097f8189.nc
200111,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data6/adaptor.mars.internal-1695078541.9219103-7215-3-250f9741-d5b3-4011-b158-60a7056128c5.nc
200112,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data3/adaptor.mars.internal-1695078706.9339657-12800-4-416fe656-f25b-4432-91bd-cf76db601a4e.nc
200201,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data3/adaptor.mars.internal-1695078876.1030257-28230-7-802387d5-8d04-40a4-b3ac-f1447f507062.nc
200202,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data9/adaptor.mars.internal-1695078991.9821484-8952-14-61343594-c97b-4dca-8a1b-54f28481caf4.nc
200203,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data4/adaptor.mars.internal-1695079111.255837-5245-17-e6a4aa69-40fa-458a-9608-faa88d0638cd.nc
200204,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data0/adaptor.mars.internal-1695079289.9036963-12747-15-fb95fe06-e8e2-4575-bfca-efa6b5c7c5e3.nc
200205,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data2/adaptor.mars.internal-1695079470.1049445-2647-15-9a430774-6eee-4d69-bda3-86dc9fee92cf.nc
200206,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data5/adaptor.mars.internal-1695079638.3562155-1133-4-f7880953-da99-4086-ba7a-cdd22567945d.nc
200207,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data9/adaptor.mars.internal-1695079822.7432394-28261-8-26c6ff5e-c23f-4253-9ef5-88ba46caed41.nc
200208,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data7/adaptor.mars.internal-1695079985.987619-30587-6-125397b5-c7eb-43b5-a6c5-0dd606d6e1bc.nc
200209,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data9/adaptor.mars.internal-1695080158.6704195-18849-18-9799527f-fba7-4d70-8a8d-1fc43812bcc8.nc
200210,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data4/adaptor.mars.internal-1695080336.0829918-8346-17-445207a2-cc4c-4513-8b91-5027a58284c6.nc
200211,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data7/adaptor.mars.internal-1695080509.0776427-12321-17-37b3fb9a-dce8-46a3-9c0b-e51ff1ee3a71.nc
200212,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data8/adaptor.mars.internal-1695080678.6751313-4706-6-27acec9e-d954-46ee-9367-5938c4fcb2e4.nc
200301,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data3/adaptor.mars.internal-1695080855.8815706-28326-2-b00c639f-27ad-4906-bbc3-c1b4e09133a0.nc
200302,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data7/adaptor.mars.internal-1695081016.2953131-10599-7-78593078-5018-4dac-9ff0-1e0a3d6621f3.nc
200303,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data0/adaptor.mars.internal-1695081143.3268075-9142-16-9293a759-cdd8-4869-8797-2936efde57ed.nc
