yyyymm,link
197901,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data9/adaptor.mars.internal-1694055942.2509553-6929-8-e946a179-88ed-4abc-8e69-397642904c84.nc
197902,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data4/adaptor.mars.internal-1694055975.732153-25743-3-bc9c5fbe-1f6d-495a-95c1-3daa95440850.nc
197903,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data1/adaptor.mars.internal-1694055997.7024338-13893-5-c2c8b802-9af0-4f43-ba52-8ab885171314.nc
197904,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data8/adaptor.mars.internal-1694056019.8463573-27185-8-408312cf-df6a-42f0-9ce7-9fd99d53f961.nc
197905,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data2/adaptor.mars.internal-1694056043.0847468-13851-5-15a7c94a-84fc-4ed3-a07d-fc8cfdb8cbdd.nc
197906,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data4/adaptor.mars.internal-1694056075.8983884-13076-10-aaa0d70d-d67a-4294-bea8-45f73e3e30c2.nc
197907,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data4/adaptor.mars.internal-1694056098.015361-4565-6-da49aa93-1f01-4533-b351-568b2b7fe232.nc
197908,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data0/adaptor.mars.internal-1694056120.4359372-22878-14-6a87e37b-0fa1-4756-bffb-54f4a6e75251.nc
197909,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data7/adaptor.mars.internal-1694056154.4024305-22286-2-ed387e39-d12b-4c03-97a2-64bb09653728.nc
197910,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data5/adaptor.mars.internal-1694056176.1066372-26738-15-c93251a1-6110-4aa8-8e96-cfab237fdd3e.nc
197911,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data6/adaptor.mars.internal-1694056198.3659656-13858-14-67678573-3e63-4408-ba25-b7f120cd1754.nc
197912,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data4/adaptor.mars.internal-1694056232.413381-10178-5-3911ea03-3533-4356-8d4d-9e0177786240.nc
198001,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data8/adaptor.mars.internal-1694056255.4903185-26600-2-c6940e3b-12e4-46a9-8d23-0c91e10b937e.nc
198002,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data6/adaptor.mars.internal-1694056288.6770422-3805-1-8984d11f-7d46-47f4-adfa-39dc84d30fa9.nc
198003,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data0/adaptor.mars.internal-1694056310.7361996-18630-2-dd4dd133-a342-4cc0-a094-d4d11df47a36.nc
198004,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data9/adaptor.mars.internal-1694056332.8619905-4809-3-ec6c0816-139f-4f64-ba18-25d12fd90f3a.nc
198005,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data6/adaptor.mars.internal-1694056367.7173104-4009-4-1889b95a-9630-43d1-9bb4-a507a26bbc3b.nc
198006,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data9/adaptor.mars.internal-1694056390.0711434-9375-3-e36cfa55-93eb-49ab-8a8f-2e3e4847c17f.nc
198007,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data9/adaptor.mars.internal-1694056423.4012907-20560-7-275c2745-901c-452d-b5ff-c1509640c7ab.nc
198008,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data9/adaptor.mars.internal-1694056457.0540643-16228-9-9403a7a3-57f9-4f98-97bd-847216a8839c.nc
198009,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data9/adaptor.mars.internal-1694056490.6626244-4185-5-7f466584-17bf-4717-9535-873de7c19cb3.nc
198010,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data0/adaptor.mars.internal-1694056513.6076314-27827-5-1e93b1b0-5d30-4737-87eb-675dca4d023c.nc
198011,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data8/adaptor.mars.internal-1694056547.5671725-28610-17-1fa0f7f5-504f-4735-adf6-6dd9d4366e10.nc
198012,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data9/adaptor.mars.internal-1694056580.5267076-1310-13-cdc19c82-03fe-481a-b7e9-627f3c581f23.nc
