yyyymm,link
197901,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data9/adaptor.mars.internal-1694039361.1236155-28623-3-3ec17044-c742-4c02-bac0-fb4432d929df.nc
197902,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data7/adaptor.mars.internal-1694039454.23111-6811-1-5ccbd5d7-8c95-418d-ad66-4793fbbbffb2.nc
197903,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data8/adaptor.mars.internal-1694039508.3333426-2486-1-a207b1b1-4e4c-4da7-b2b1-305e307effbc.nc
197904,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data5/adaptor.mars.internal-1694039541.2186172-21672-15-638420d6-e82a-4405-abee-fc3f84ea794f.nc
197905,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data0/adaptor.mars.internal-1694039575.0344305-19064-6-c403f4eb-057d-431e-bc9e-9ed12a296c1c.nc
197906,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data4/adaptor.mars.internal-1694039607.736075-2043-8-406b5aec-140d-4d53-8202-a66b464aeb75.nc
197907,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data2/adaptor.mars.internal-1694039636.6536276-8698-8-bb963a49-7958-4ee3-8639-6ee4a427354f.nc
197908,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data7/adaptor.mars.internal-1694039664.5122235-3275-20-47a72531-748b-47b5-bc11-285c11ec58d5.nc
197909,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data8/adaptor.mars.internal-1694039697.5998578-3664-9-330e3cbc-9868-42f0-a28b-b3a72698d505.nc
197910,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data9/adaptor.mars.internal-1694039732.0574777-16775-9-34c75ab9-e825-4313-a14e-f165d60a26ef.nc
197911,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data6/adaptor.mars.internal-1694039753.5855117-2002-9-07869af5-7cb1-49dc-b3aa-c09b549bbba2.nc
197912,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data6/adaptor.mars.internal-1694039775.8989658-2710-18-daf754e5-7e84-492e-8af6-31fe3ff54fae.nc
198001,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data9/adaptor.mars.internal-1694039813.7223692-19037-8-8c1dc83f-8aea-4180-b400-b862d74d26a2.nc
198002,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data9/adaptor.mars.internal-1694039842.860043-25666-2-619e3792-2849-4b9d-bb93-de09667398f1.nc
198003,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data6/adaptor.mars.internal-1694039865.1076667-25849-17-b33001dd-4388-4d87-ac48-6ddc64acbf70.nc
198004,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data4/adaptor.mars.internal-1694039887.5069394-7753-12-a0dc31a2-983b-4523-8108-3a05a7d2acb2.nc
198005,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data5/adaptor.mars.internal-1694039909.8537517-13825-7-d9dd68d4-6fcf-427c-a83b-ea8bace0ae93.nc
198006,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data8/adaptor.mars.internal-1694039943.6260607-7565-2-1cc3623b-c940-448c-b78e-cd729c70c4a2.nc
198007,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data3/adaptor.mars.internal-1694039977.042071-15282-3-4f999a79-8c71-4b57-b1bf-fba4bcb03e42.nc
198008,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data9/adaptor.mars.internal-1694040011.8398695-15014-4-93856dd1-cded-4ba1-aa1a-6a45843b8373.nc
198009,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data0/adaptor.mars.internal-1694040045.1236923-4892-5-33928a5e-6a1c-4173-90fc-75737ad9dbd0.nc
198010,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data0/adaptor.mars.internal-1694040068.2113304-24241-6-291ee353-eb1d-41b7-b4ac-cf150d389eba.nc
198011,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data9/adaptor.mars.internal-1694040101.2006867-25005-9-9626b719-3c5a-47b0-88ac-ab2ddd55fdb0.nc
198012,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data9/adaptor.mars.internal-1694040124.3096776-29630-8-7bdd5996-9ea1-4738-8a8c-ca45637654bc.nc
198101,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data4/adaptor.mars.internal-1694040157.9414926-30205-8-23d23ede-8cd7-401d-87c4-92e557eeba10.nc
198102,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data9/adaptor.mars.internal-1694040180.580138-29919-11-b40be228-3e50-409f-a1a9-87aa78a29f64.nc
198103,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data4/adaptor.mars.internal-1694040203.0742464-3153-7-8bba7f9f-d42e-4ee9-bd2b-6e62a530fe7f.nc
198104,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data2/adaptor.mars.internal-1694040236.2331955-6860-11-1454a3e7-ed21-4c11-a0bb-ebc3294e868c.nc
198105,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data9/adaptor.mars.internal-1694040269.5485554-10648-11-b06607c8-397c-4e3d-964b-c5da800b4d17.nc
