yyyymm,link
195001,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data6/adaptor.mars.internal-1694548260.4941206-12300-5-9c19cff8-c6f9-4031-89e5-e6c2ce84a784.nc
195002,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data1/adaptor.mars.internal-1694548293.9504497-31768-12-2e96461b-c45a-4de1-aabb-436d71345fd7.nc
195003,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data8/adaptor.mars.internal-1694548318.2353044-10614-19-aa113fcb-df57-48ee-a6bf-19c6a474c1dd.nc
195004,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data3/adaptor.mars.internal-1694548382.559807-14930-6-c324e2ff-0341-44f7-a940-f244a0ec50b5.nc
195005,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data3/adaptor.mars.internal-1694548425.7931085-14827-17-f9b4ab65-8b7f-46dc-b361-fece9ab8276f.nc
195006,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data3/adaptor.mars.internal-1694548459.2347565-27923-19-ef0089d7-0ca0-4df1-87c9-f21dd0254ee8.nc
195007,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data8/adaptor.mars.internal-1694548493.4328854-12983-8-b222f746-fb11-4a1f-8a41-548e6d225761.nc
195008,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data2/adaptor.mars.internal-1694548527.412766-30681-7-d4fe01f1-133e-4066-97e3-f229cc5534f6.nc
195009,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data4/adaptor.mars.internal-1694548560.1137626-13113-12-ad52ae4a-4bf5-4048-8b16-8adeaab651ff.nc
195010,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data8/adaptor.mars.internal-1694548582.7448227-2076-4-409ec977-7845-4ec9-866f-4dd3869fc57b.nc
195011,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data9/adaptor.mars.internal-1694548617.1678703-7788-3-17f617ff-e8df-4e93-a9f2-bdcc2cc56814.nc
