yyyy,link
1979,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data4/adaptor.mars.external-1694987566.342079-8464-10-4273a6f3-00c3-4e0f-bdae-f8d1f110e14d.grib
1980,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data2/adaptor.mars.external-1694988190.4102044-24966-9-40ce7404-a918-4a49-a648-4e7ef4a665f1.grib
1981,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data7/adaptor.mars.external-1694804331.502796-544-15-1cb936e5-4a6b-4b9f-9244-bc4fb79446f1.grib
1982,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data1/adaptor.mars.external-1694988205.408665-12524-16-8b40635f-58bd-4c08-80c2-6d628746e694.grib
1983,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data6/adaptor.mars.external-1694809741.4755738-7584-19-5de71833-44bf-4893-94cd-b234677f75d7.grib
1984,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data0/adaptor.mars.external-1694988215.166795-21624-1-fd23c8b2-137c-4a3a-924e-e96105b6a14c.grib
1985,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data8/adaptor.mars.external-1694988224.3162606-7029-4-a8a33c4d-b094-4a92-9002-cf7cb892aadd.grib
1986,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data0/adaptor.mars.external-1694988233.7735586-8069-3-4351660a-9790-4ead-b3a1-87944c81ef37.grib
1987,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data8/adaptor.mars.external-1694807710.354843-18568-14-c9fdb6a8-1e27-4a7e-9888-924614a0d5cc.grib
1988,https://download-0009-clone.copernicus-climate.eu/cache-compute-0009/cache/data9/adaptor.mars.external-1694809651.1299205-26663-14-809adccc-5d21-4e53-ab17-bfd9c3c50b2d.grib
1989,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data2/adaptor.mars.external-1694988244.246703-3708-13-ba581b7f-beb5-415e-b875-2d1d3a756f4e.grib
1990,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data9/adaptor.mars.external-1694988253.6123257-10745-14-2f7b4e5d-3c42-40a8-b381-1e541fce3a0a.grib
1991,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data9/adaptor.mars.external-1694800890.0848212-17335-17-4adeb51d-23e8-403d-a808-3841547e39fa.grib
1992,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data2/adaptor.mars.external-1694988268.7910874-7167-7-f0c4a56a-ecc2-464e-97e4-ae119f4b8a69.grib
1993,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data5/adaptor.mars.external-1694806811.9113193-6979-19-bbda0f9d-8995-4068-a5bc-4990c1231afe.grib
1994,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data2/adaptor.mars.external-1694809329.511199-10428-15-6728f795-062e-4741-ba62-7b51f3480241.grib
1995,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data1/adaptor.mars.external-1694768002.5468223-19002-7-410d874b-3575-4475-a78d-db2bc13672d3.grib
1996,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data4/adaptor.mars.external-1694988285.0101414-6574-10-fa97245a-e035-4a84-b559-c9090d7342ca.grib
1997,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data3/adaptor.mars.external-1694988294.1807718-4381-18-16d5724f-eb7b-4d17-ad8e-df751054bfbe.grib
1998,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data7/adaptor.mars.external-1694805753.4096248-15745-17-65c85e85-c3d7-4e5a-babf-273fc7eede2f.grib
1999,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data7/adaptor.mars.external-1694807759.083723-31182-7-8e13396b-bcc5-4f1d-a3eb-e524a551c463.grib
2000,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data5/adaptor.mars.external-1694768012.087099-26601-19-edcc4c6e-c3e4-4bbb-9771-25ad04867130.grib
2001,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data5/adaptor.mars.external-1694798970.2520976-27776-5-0feb09b7-b8a5-44c3-a23f-51f2ed7eeccd.grib
2002,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data5/adaptor.mars.external-1694802940.7890282-14748-11-51588def-1d73-4892-8718-4220b94991ba.grib
2003,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data4/adaptor.mars.external-1694988307.1411998-1840-8-96e32a27-8352-4410-906a-2e435d9dc9db.grib
2004,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data7/adaptor.mars.external-1694806691.1289635-8272-15-dd45a409-e2ca-4813-8255-05b6cfb07088.grib
2005,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data4/adaptor.mars.external-1694988316.8934007-4021-5-114e5f72-18b9-491e-8196-b82a147f3514.grib
2006,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data6/adaptor.mars.external-1694801791.4346755-11192-10-6e415f66-0a6f-41ea-9dda-bb61de21a963.grib
2007,https://download-0009-clone.copernicus-climate.eu/cache-compute-0009/cache/data3/adaptor.mars.external-1694988326.871664-15949-13-30a90a34-e82e-4ff3-8ac0-7f63213e2e3a.grib
