year,link
2004,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data9/adaptor.mars.external-1693918190.7875886-22981-5-0f792f4b-a659-4236-b47f-4c50ed89bc79.grib
2005,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data6/adaptor.mars.external-1693918267.425307-21796-8-a5c6977f-6d6e-429a-b02e-5860856cb5dd.grib
2006,https://download-0009-clone.copernicus-climate.eu/cache-compute-0009/cache/data8/adaptor.mars.external-1693918377.3921049-26493-8-30696fea-f843-41df-b5de-7576add9911e.grib
2007,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data2/adaptor.mars.external-1693918459.3905804-32715-12-8ff5908a-67cb-49b1-8e35-9b03a7eb6e31.grib
2008,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data1/adaptor.mars.external-1693918536.324829-6764-14-4a6c9f44-92a8-4c14-a79b-5e31d9d7efd4.grib
2009,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data1/adaptor.mars.external-1693918613.022666-27300-13-9c760d8f-aefe-4ef1-a9a7-9a029849b64b.grib
2010,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data5/adaptor.mars.external-1693918689.6600635-11493-16-d4285316-9837-4f19-b95c-83ace36a705f.grib
2011,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data6/adaptor.mars.external-1693918766.314589-1930-4-9b9795fd-fa01-47a9-b6a9-41c61b180534.grib
2012,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data5/adaptor.mars.external-1693918843.5446155-9712-19-a1abe9f7-7f0f-40eb-b3f5-dec2197f3fab.grib
2013,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data3/adaptor.mars.external-1693919518.6509864-21734-12-3f4a06c8-4a73-4383-ad5a-ba8b98de7ad4.grib
2014,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data9/adaptor.mars.external-1693919595.4038749-1361-2-9607e2c6-67d6-4ae4-977d-a552df7b0a70.grib
1979,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data2/adaptor.mars.external-1693929368.8508956-29599-1-cfc503e0-1b4f-4743-b1a8-9c9a1372347f.grib
1980,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data9/adaptor.mars.external-1693929445.3022954-24404-3-058b7881-cdbf-49a9-a59d-328c30fdbefa.grib
1981,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data6/adaptor.mars.external-1693929521.8935301-29311-3-af3b4400-526d-41cf-b3d3-2ca0c8935c10.grib
1982,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data2/adaptor.mars.external-1693929598.5487342-9633-3-2f3a8a7e-3c5e-404c-b7f2-6e8581251b96.grib
1983,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data2/adaptor.mars.external-1693929675.556949-6970-7-800ee551-17e7-41b7-ad88-742b97dce671.grib
1984,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data5/adaptor.mars.external-1693929752.154774-5602-15-3f768eeb-8ac1-45ab-a660-5c4caac64e1a.grib
1985,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data2/adaptor.mars.external-1693929828.88223-28772-6-87079a7c-7bfa-45d7-a4e2-865060c29885.grib
1986,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data7/adaptor.mars.external-1693929905.531129-3543-8-d8b7be64-1612-481f-a6cb-d2590cb83f91.grib
